C00420760|20854|2017|500|5000|1
C00420760|31522|2017|500|300|1
C00420760|60657|2017|500|2700|1
C00420760|60602|2017|500|2700|1
C00420760|96821|2017|500|500|1
C00420760|02465|2017|500|2700|1
C00636514|33139|2017|500|2700|1
C00636514|91324|2017|500|2700|1
C00636514|91324|2017|500|5400|2
C00636514|44309|2017|500|2700|1
C00636514|83402|2017|500|2700|1
C00502179|02138|2017|500|2700|1
C00502179|53703|2017|500|250|1
C00502179|53703|2017|500|500|2
C00502179|53713|2017|500|1700|1
C00502179|53704|2017|500|1000|1
C00502179|53711|2017|500|100|1
C00647610|03070|2017|500|2300|1
C00647610|03110|2017|500|100|1
C00647610|02143|2017|500|2300|1
C00637397|03869|2017|500|25|1
C00637397|03257|2017|500|300|1
C00637397|03801|2017|500|50|1
C00637397|03801|2017|500|350|2
C00548289|59718|2017|500|2700|1
C00548289|59718|2017|500|5400|2
C00548289|59718|2017|500|8100|3
C00548289|59718|2017|500|10400|4
C00548289|60045|2017|500|2700|1
C00548289|77402|2017|500|2700|1
C00548289|77402|2017|500|5400|2
C00548289|59270|2017|500|2700|1
C00548289|94941|2017|500|2700|1
C00548289|94941|2017|500|5400|2
C00548289|89451|2017|500|10|1
C00548289|93108|2017|500|2700|1
C00548289|44118|2017|500|500|1
C00548289|86301|2017|500|300|1
C00548289|59911|2017|500|2300|1
C00548289|59911|2017|500|4600|2
C00548289|78466|2017|500|5400|1
C00548289|59804|2017|500|2700|1
C00548289|59422|2017|500|500|1
C00548289|22207|2017|500|2700|1
C00548289|77001|2017|500|2300|1
C00548289|77001|2017|500|4600|2
C00329896|87505|2017|500|10|1
